epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1316.53,1.04972,1.97347,1.20203,0.96832,0.9874,0.99438,0.81459,0.67616,0.95703,0.99312,0.000237763,0.000237763,0.000237763
2,2527.21,0.90665,1.02732,1.10433,0.97428,0.98751,0.99279,0.8311,0.66022,0.67645,1.01135,0.000436512,0.000436512,0.000436512
3,3560.75,0.71739,0.61631,1.01588,0.99661,0.99745,0.995,0.83818,0.63395,0.48118,0.97886,0.000595992,0.000595992,0.000595992
4,4583.51,0.67376,0.47832,0.98599,0.99785,0.99891,0.995,0.8574,0.58769,0.39312,0.95665,0.000537285,0.000537285,0.000537285
5,5747.05,0.64369,0.40974,0.96978,0.99605,0.99842,0.995,0.86696,0.55296,0.34417,0.94233,0.00047838,0.00047838,0.00047838
6,6837.03,0.6156,0.36878,0.9531,0.99827,1,0.995,0.86407,0.54292,0.31324,0.93809,0.000419475,0.000419475,0.000419475
7,7911.88,0.59969,0.33913,0.94649,0.99845,1,0.995,0.86926,0.52651,0.29126,0.93753,0.00036057,0.00036057,0.00036057
8,9008.45,0.57345,0.31175,0.93495,0.99863,1,0.995,0.87228,0.51779,0.27291,0.92893,0.000301665,0.000301665,0.000301665
9,10193.3,0.56065,0.29383,0.92503,0.99809,1,0.995,0.87479,0.50515,0.26419,0.91807,0.00024276,0.00024276,0.00024276
