epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,316.875,1.07578,3.08196,1.41823,0.17655,0.55402,0.21243,0.16177,0.80438,2.69889,1.21815,0.000329545,0.000329545,0.000329545
2,612.767,1.02899,2.43361,1.37485,0.33039,0.63753,0.46482,0.37744,0.6669,2.23776,1.11689,0.000619129,0.000619129,0.000619129
3,924.76,1.01504,2.13286,1.34029,0.39523,0.70282,0.60724,0.49492,0.66995,2.29968,1.09154,0.000864712,0.000864712,0.000864712
