epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,590.155,0.44637,3.19049,0.84225,0.44197,0.54375,0.56913,0.52369,0.37579,2.16183,0.80231,0.000207837,0.000207837,0.000207837
2,1262.39,0.3871,1.8087,0.82224,0.89341,0.76648,0.89575,0.85167,0.33897,1.24501,0.80516,0.00037497,0.00037497,0.00037497
3,1956.87,0.36444,1.28811,0.82099,0.93947,0.87559,0.95476,0.91659,0.29911,0.95636,0.7939,0.000500852,0.000500852,0.000500852
4,2696.35,0.32594,1.0092,0.81604,0.93826,0.93679,0.97359,0.94671,0.25911,0.79279,0.78882,0.000439375,0.000439375,0.000439375
