epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1597.35,1.75331,5.33461,1.61008,0,0,0,0,1.2881,5.1871,1.28147,2.69568e-05,2.69568e-05,2.69568e-05
2,3195.86,1.51332,4.07951,1.34631,0.61111,1,0.995,0.72967,1.02382,3.70175,1.13054,4.06025e-05,4.06025e-05,4.06025e-05
3,4935.69,1.44913,3.39003,1.30869,0.8663,0.66667,0.82917,0.63017,1.1386,3.09188,1.22079,4.08832e-05,4.08832e-05,4.08832e-05
4,7227.88,1.39941,3.02879,1.28363,0.94535,0.66667,0.82917,0.64675,1.07032,2.82543,1.15745,2.08575e-05,2.08575e-05,2.08575e-05
