epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1941.61,0.43056,3.38895,0.89704,0.44454,0.56849,0.51425,0.50251,0.2422,2.91446,0.77755,0.000207837,0.000207837,0.000207837
2,3732.44,0.36745,2.24966,0.86061,0.86601,0.81338,0.91342,0.888,0.26477,1.67255,0.77878,0.000402437,0.000402437,0.000402437
